Auction_Year,Name,Role,Nationality,Winning Bid in Rs,RCB_Matches,RCB_Runs,RCB_Wickets,RCB_Batting_Average,RCB_Strike_Rate,RCB_Economy,Cost_per_Run,Cost_per_Wicket
2022,Siddharth Kaul,Bowler,Indian,7500000,1,0,0,0.0,0.0,10.75,,
2022,Suyash S Prabhudessai,All-Rounder,Indian,3000000,6,91,0,18.7,112.35,0.0,32967.03296703297,
2022,Luvnith Sisodia,Wicket Keeper,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2022,Chama Milind,Bowler,Indian,2500000,0,0,0,0.0,0.0,0.0,,
2022,Aneeshwar Gautam,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2022,David Willey,All-Rounder,Overseas,20000000,4,18,1,9.0,56.25,6.55,1111111.111111111,20000000.0
2023,Sonu Yadav,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2023,Himanshu Sharma,Bowler,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2023,Avinash Singh,Bowler,Indian,6000000,0,0,0,0.0,0.0,0.0,,
2023,Manoj Bhandage,All-Rounder,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2023,Will Jacks,Batsman,Overseas,32000000,8,230,2,32.86,172.93,10.69,139130.4347826087,16000000.0
2023,Reece Topley,Bowler,Overseas,19000000,5,3,5,1.5,50.0,9.93,6333333.333333333,3800000.0
2023,Rajan Kumar,Bowler,Indian,7000000,0,0,0,0.0,0.0,0.0,,
2024,Lockie Ferguson,Bowler,Overseas,20000000,7,1,9,1.0,100.0,10.29,20000000.0,2222222.222222222
2024,Tom Curran,All-Rounder,Overseas,15000000,0,0,0,0.0,0.0,0.0,,
2024,Saurav Chuahan,Batsman,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2024,Alzarri Joseph,Bowler,Overseas,115000000,3,0,1,0.0,0.0,10.12,,115000000.0
2024,Swapnil Singh,All-Rounder,Indian,2000000,7,37,6,18.5,168.18,8.54,54054.05405405405,333333.3333333333
2024,Yash Dayal,Bowler,Indian,50000000,29,4,28,1.0,50.0,8.51,12500000.0,1785714.2857142857
2025,Josh Hazlewood,Bowler,Overseas,125000000,12,0,22,0.0,0.0,8.44,,5681818.181818182
2025,Phil Salt,Wicket Keeper,Overseas,115000000,13,403,0,33.58,169.33,0.0,285359.80148883373,
2025,Jitesh Sharma,Wicket Keeper,Indian,110000000,11,261,0,37.29,168.39,0.0,421455.938697318,
2025,Bhuvneshwar Kumar,Bowler,Indian,107500000,14,14,17,4.67,53.85,9.0,7678571.428571428,6323529.411764706
2025,Liam Livingstone,All-Rounder,Overseas,87500000,9,112,2,16.0,124.44,8.44,781250.0,43750000.0
2025,Rasikh Salam,Bowler,Indian,60000000,2,0,1,0.0,0.0,10.74,,60000000.0
2025,Krunal Pandya,All-Rounder,Indian,57500000,15,109,17,18.17,122.47,7.84,527522.9357798165,3382352.9411764704
2025,Tim David,All-Rounder,Overseas,30000000,9,187,0,62.33,174.77,0.0,160427.807486631,
2025,JG Bethell,All-Rounder,Overseas,26000000,2,67,0,33.5,171.79,0.0,388059.70149253734,
2025,Suyash Sharma,Bowler,Indian,26000000,0,0,0,0.0,0.0,0.0,,
2025,Devdutt Padikkal,Batsman,Indian,20000000,10,247,0,27.44,142.77,0.0,80971.65991902835,
2025,Nuwan Thushara,Bowler,Overseas,16000000,1,0,1,0.0,0.0,5.54,,16000000.0
2025,Romario Shepherd,All-Rounder,Overseas,15000000,7,70,6,35.0,280.0,9.67,214285.7142857143,2500000.0
2025,Lungisani Ngidi,Bowler,Overseas,10000000,0,0,0,0.0,0.0,0.0,,
2025,Swapnil Singh,All-Rounder,Overseas,5000000,0,0,0,0.0,0.0,0.0,,
2025,Mohit Rathee,All-Rounder,Indian,3000000,0,0,0,0.0,0.0,0.0,,
2025,Abhinandan Singh,Bowler,Indian,3000000,0,0,0,0.0,0.0,0.0,,
2025,Swastik Chhikara,Batsman,Indian,3000000,0,0,0,0.0,0.0,0.0,,
2025,Manoj Bhandage,All-Rounder,Indian,3000000,0,0,0,0.0,0.0,0.0,,
